ID,Issues
20,English leakage
21,English leakage
39,English leakage
53,English leakage
137,English leakage
141,English leakage
150,English leakage
156,English leakage
160,English leakage
170,English leakage
180,English leakage
293,English leakage
294,English leakage
309,English leakage
326,English leakage
343,English leakage
358,English leakage
375,English leakage
424,English leakage
428,English leakage
431,English leakage
454,English leakage
460,English leakage
463,English leakage
468,English leakage
475,English leakage
480,English leakage
483,English leakage
486,English leakage
494,English leakage
495,English leakage
501,English leakage
506,English leakage
509,English leakage
582,English leakage
591,English leakage
602,English leakage
606,English leakage
612,English leakage
615,English leakage
622,English leakage
641,English leakage
658,English leakage
659,English leakage
666,English leakage
685,English leakage
693,English leakage
701,English leakage
712,English leakage
746,English leakage
796,English leakage
797,English leakage
801,English leakage
851,English leakage
865,English leakage
882,English leakage
892,English leakage
894,English leakage
930,English leakage
941,English leakage
943,English leakage
951,English leakage
1007,English leakage
1016,English leakage
1026,English leakage
1027,English leakage
1047,English leakage
1056,English leakage
1105,Format Q/A Leakage
1158,English leakage
1185,"English leakage, Format Q/A Leakage"
1193,English leakage
1201,English leakage
1202,English leakage
1206,English leakage
1210,English leakage
1251,English leakage
1254,English leakage
1262,English leakage
1292,English leakage
1293,English leakage
1304,English leakage
1306,English leakage
1314,"English leakage, AI Prompt Leakage"
2989,English leakage
2998,English leakage
3003,English leakage
3023,English leakage
3036,English leakage
3065,English leakage
3144,Format Q/A Leakage
4319,Format Q/A Leakage
5329,English leakage
5331,English leakage
5346,English leakage
5354,English leakage
5367,English leakage
5378,English leakage
5383,English leakage
5403,English leakage
5414,English leakage
5443,English leakage
5446,English leakage
5449,"English leakage, AI Prompt Leakage"
5451,English leakage
5455,English leakage
5482,English leakage
5487,English leakage
5499,English leakage
5516,English leakage
5520,English leakage
5549,English leakage
5560,English leakage
5569,English leakage
5573,English leakage
5588,English leakage
5603,English leakage
5619,English leakage
5621,English leakage
5628,English leakage
5633,English leakage
5637,English leakage
5640,English leakage
5643,English leakage
5653,English leakage
5655,English leakage
5672,English leakage
5673,English leakage
5676,English leakage
5698,English leakage
5699,English leakage
5716,English leakage
5727,English leakage
5740,English leakage
5742,English leakage
5768,English leakage
5772,English leakage
5791,English leakage
5809,English leakage
5831,English leakage
5833,English leakage
5838,English leakage
5847,English leakage
5850,English leakage
5858,English leakage
5861,English leakage
5886,English leakage
5892,English leakage
5893,English leakage
5908,English leakage
5927,English leakage
5934,English leakage
5981,English leakage
6004,English leakage
6006,English leakage
6033,English leakage
6059,English leakage
6063,English leakage
6108,English leakage
6129,English leakage
6150,English leakage
6160,English leakage
6167,English leakage
6171,English leakage
6197,English leakage
6261,English leakage
6275,English leakage
6277,English leakage
6294,English leakage
6299,"English leakage, Format Q/A Leakage"
6321,English leakage
6326,English leakage
6362,English leakage
6366,English leakage
6400,English leakage
6425,English leakage
6427,English leakage
6492,English leakage
6500,English leakage
6502,English leakage
6526,English leakage
6554,English leakage
6608,English leakage
6623,English leakage
6650,English leakage
6665,English leakage
6739,English leakage
6744,English leakage
6763,English leakage
6769,"English leakage, Format Q/A Leakage"
6895,English leakage
6994,English leakage
7013,English leakage
7019,English leakage
7075,English leakage
7084,English leakage
7086,English leakage
7089,English leakage
7114,English leakage
7124,English leakage
7150,English leakage
7181,English leakage
7188,English leakage
7221,English leakage
7255,English leakage
7282,English leakage
7283,English leakage
7292,English leakage
7303,English leakage
7331,English leakage
7368,English leakage
7401,English leakage
7417,English leakage
7435,English leakage
7544,English leakage
7545,English leakage
7554,English leakage
7571,English leakage
7595,English leakage
7621,English leakage
7677,English leakage
7696,English leakage
7701,English leakage
7720,English leakage
7740,English leakage
7763,English leakage
7796,"English leakage, Format Q/A Leakage"
7844,English leakage
7851,English leakage
7860,English leakage
7889,English leakage
7937,English leakage
7964,English leakage
8069,English leakage
8095,Format Q/A Leakage
8099,English leakage
8147,English leakage
8174,English leakage
8177,English leakage
8192,English leakage
8232,English leakage
8254,English leakage
8300,English leakage
8399,English leakage
8406,English leakage
8407,English leakage
8411,English leakage
8476,English leakage
8478,English leakage
8482,English leakage
8493,English leakage
8505,English leakage
8512,English leakage
8554,English leakage
8556,English leakage
8587,English leakage
8608,English leakage
8621,English leakage
8626,English leakage
8629,English leakage
8650,English leakage
8652,"English leakage, AI Prompt Leakage"
8708,English leakage
8709,English leakage
8793,English leakage
8798,English leakage
8812,English leakage
8825,English leakage
8827,English leakage
8835,English leakage
8860,English leakage
8872,English leakage
8875,English leakage
8882,English leakage
8913,English leakage
8919,English leakage
8923,English leakage
8949,English leakage
8959,English leakage
8962,English leakage
8975,English leakage
8985,English leakage
8991,English leakage
8993,English leakage
9016,English leakage
9023,English leakage
9037,English leakage
9061,English leakage
9067,English leakage
9096,English leakage
9097,English leakage
9111,English leakage
9125,English leakage
9136,English leakage
9180,English leakage
9197,English leakage
9206,English leakage
9209,English leakage
9223,English leakage
9262,English leakage
9307,English leakage
9311,English leakage
9320,English leakage
9331,English leakage
9334,English leakage
9345,English leakage
9351,English leakage
9359,English leakage
9367,English leakage
9376,English leakage
9397,English leakage
9406,English leakage
9462,English leakage
9517,English leakage
9522,English leakage
9546,English leakage
9561,English leakage
9577,English leakage
9598,English leakage
9649,English leakage
9664,English leakage
9673,English leakage
9678,English leakage
9719,English leakage
9721,English leakage
9808,English leakage
9811,English leakage
9818,English leakage
9836,English leakage
9838,English leakage
9843,English leakage
9848,English leakage
9862,English leakage
9960,English leakage
9963,English leakage
9970,English leakage
9972,English leakage
9993,English leakage
